Niveau_alerte,date,region_id,hospit_pct,first_dose,second_dose,CONNECT_lag,Faibles_revenues_65_ans,Immigration_2011_2016
1,2020-04-10,1,0.000506624110241,0,0,0.72,0.014,0.0031
1,2020-04-10,2,0.000723672784114,0,0,0.72,0.017,0.0022
2,2020-04-10,3,0.005616461437513,0,0,0.72,0.084,0.0174
2,2020-04-10,4,0.008062755771262,0,0,0.72,0.021,0.0053
3,2020-04-10,5,0.010156258265184,0,0,0.72,0.021,0.0113
4,2020-04-10,6,0.022965494087673,0,0,0.72,0.145,0.0714
1,2020-04-10,7,0.000784100532143,0,0,0.72,0.06,0.0201
1,2020-04-10,8,0.003407921372438,0,0,0.72,0.015,0.0039
1,2020-04-10,9,0,0,0,0.72,0.013,0.0026
1,2020-04-10,10,0,0,0,0.72,0.011,0.0039
1,2020-04-10,11,0,0,0,0.72,0.011,0.0022
1,2020-04-10,12,0.00142829257145,0,0,0.72,0.03,0.0041
3,2020-04-10,13,0.010638473922736,0,0,0.72,0.085,0.0358
2,2020-04-10,14,0.007073622260487,0,0,0.72,0.04,0.0054
1,2020-04-10,15,0.002205632846963,0,0,0.72,0.042,0.0061
2,2020-04-10,16,0.005245818307019,0,0,0.72,0.05,0.0167
1,2020-04-11,1,0.000506624110241,0,0,0.72,0.014,0.0031
1,2020-04-11,2,0.000361836392057,0,0,0.72,0.017,0.0022
2,2020-04-11,3,0.005342487708854,0,0,0.72,0.084,0.0174
2,2020-04-11,4,0.008456060930835,0,0,0.72,0.021,0.0053
3,2020-04-11,5,0.011002613120616,0,0,0.72,0.021,0.0113
4,2020-04-11,6,0.023737876175823,0,0,0.72,0.145,0.0714
1,2020-04-11,7,0.000784100532143,0,0,0.72,0.06,0.0201
1,2020-04-11,8,0.003407921372438,0,0,0.72,0.015,0.0039
1,2020-04-11,9,0,0,0,0.72,0.013,0.0026
1,2020-04-11,10,0,0,0,0.72,0.011,0.0039
1,2020-04-11,11,0,0,0,0.72,0.011,0.0022
1,2020-04-11,12,0.001666341333359,0,0,0.72,0.03,0.0041
3,2020-04-11,13,0.011347705517585,0,0,0.72,0.085,0.0358
2,2020-04-11,14,0.007275725753644,0,0,0.72,0.04,0.0054
1,2020-04-11,15,0.002035968781812,0,0,0.72,0.042,0.0061
2,2020-04-11,16,0.005984665955895,0,0,0.72,0.05,0.0167
1,2020-04-12,1,0.000506624110241,0,0,0.72,0.014,0.0031
1,2020-04-12,2,0.000723672784114,0,0,0.72,0.017,0.0022
2,2020-04-12,3,0.005616461437513,0,0,0.72,0.084,0.0174
2,2020-04-12,4,0.009242671249983,0,0,0.72,0.021,0.0053
3,2020-04-12,5,0.010367846979042,0,0,0.72,0.021,0.0113
4,2020-04-12,6,0.024922195377654,0,0,0.72,0.145,0.0714
1,2020-04-12,7,0.001045467376191,0,0,0.72,0.06,0.0201
1,2020-04-12,8,0.003407921372438,0,0,0.72,0.015,0.0039
1,2020-04-12,9,0,0,0,0.72,0.013,0.0026
1,2020-04-12,10,0,0,0,0.72,0.011,0.0039
1,2020-04-12,11,0,0,0,0.72,0.011,0.0022
1,2020-04-12,12,0.00142829257145,0,0,0.72,0.03,0.0041
3,2020-04-12,13,0.013238989770516,0,0,0.72,0.085,0.0358
2,2020-04-12,14,0.007477829246801,0,0,0.72,0.04,0.0054
1,2020-04-12,15,0.002035968781812,0,0,0.72,0.042,0.0061
2,2020-04-12,16,0.006280205015446,0,0,0.72,0.05,0.0167
1,2020-04-13,1,0.000506624110241,0,0,0.72,0.014,0.0031
1,2020-04-13,2,0.000723672784114,0,0,0.72,0.017,0.0022
2,2020-04-13,3,0.005479474573183,0,0,0.72,0.084,0.0174
2,2020-04-13,4,0.009242671249983,0,0,0.72,0.021,0.0053
3,2020-04-13,5,0.011214201834474,0,0,0.72,0.021,0.0113
4,2020-04-13,6,0.026827404528425,0,0,0.72,0.145,0.0714
1,2020-04-13,7,0.002090934752381,0,0,0.72,0.06,0.0201
1,2020-04-13,8,0.00272633709795,0,0,0.72,0.015,0.0039
1,2020-04-13,9,0,0,0,0.72,0.013,0.0026
1,2020-04-13,10,0,0,0,0.72,0.011,0.0039
1,2020-04-13,11,0,0,0,0.72,0.011,0.0022
1,2020-04-13,12,0.00142829257145,0,0,0.72,0.03,0.0041
3,2020-04-13,13,0.014421042428598,0,0,0.72,0.085,0.0358
2,2020-04-13,14,0.007477829246801,0,0,0.72,0.04,0.0054
1,2020-04-13,15,0.002884289107567,0,0,0.72,0.042,0.0061
2,2020-04-13,16,0.006871283134546,0,0,0.72,0.05,0.0167
1,2020-04-14,1,0.001013248220483,0,0,0.72,0.014,0.0031
1,2020-04-14,2,0.001085509176171,0,0,0.72,0.017,0.0022
2,2020-04-14,3,0.005479474573183,0,0,0.72,0.084,0.0174
2,2020-04-14,4,0.008849366090409,0,0,0.72,0.021,0.0053
3,2020-04-14,5,0.01163737926219,0,0,0.72,0.021,0.0113
4,2020-04-14,6,0.028681121539986,0,0,0.72,0.145,0.0714
1,2020-04-14,7,0.002352301596429,0,0,0.72,0.06,0.0201
1,2020-04-14,8,0.002044752823463,0,0,0.72,0.015,0.0039
1,2020-04-14,9,0,0,0,0.72,0.013,0.0026
1,2020-04-14,10,0,0,0,0.72,0.011,0.0039
1,2020-04-14,11,0,0,0,0.72,0.011,0.0022
1,2020-04-14,12,0.001666341333359,0,0,0.72,0.03,0.0041
3,2020-04-14,13,0.014893863491831,0,0,0.72,0.085,0.0358
2,2020-04-14,14,0.007073622260487,0,0,0.72,0.04,0.0054
1,2020-04-14,15,0.003053953172718,0,0,0.72,0.042,0.0061
2,2020-04-14,16,0.006575744074996,0,0,0.72,0.05,0.0167
1,2020-04-15,1,0.001013248220483,0,0,0.72,0.014,0.0031
1,2020-04-15,2,0.001085509176171,0,0,0.72,0.017,0.0022
2,2020-04-15,3,0.005479474573183,0,0,0.72,0.084,0.0174
2,2020-04-15,4,0.009635976409557,0,0,0.72,0.021,0.0053
3,2020-04-15,5,0.011425790548332,0,0,0.72,0.021,0.0113
4,2020-04-15,6,0.030071409298657,0,0,0.72,0.145,0.0714
1,2020-04-15,7,0.002613668440476,0,0,0.72,0.06,0.0201
1,2020-04-15,8,0.002044752823463,0,0,0.72,0.015,0.0039
1,2020-04-15,9,0,0,0,0.72,0.013,0.0026
1,2020-04-15,10,0,0,0,0.72,0.011,0.0039
1,2020-04-15,11,0,0,0,0.72,0.011,0.0022
1,2020-04-15,12,0.001904390095267,0,0,0.72,0.03,0.0041
3,2020-04-15,13,0.016312326681529,0,0,0.72,0.085,0.0358
2,2020-04-15,14,0.008084139726271,0,0,0.72,0.04,0.0054
1,2020-04-15,15,0.003053953172718,0,0,0.72,0.042,0.0061
2,2020-04-15,16,0.006945167899434,0,0,0.72,0.05,0.0167
1,2020-04-16,1,0.001013248220483,0,0,0.72,0.014,0.0031
1,2020-04-16,2,0.001085509176171,0,0,0.72,0.017,0.0022
2,2020-04-16,3,0.005479474573183,0,0,0.72,0.084,0.0174
2,2020-04-16,4,0.009832628989343,0,0,0.72,0.021,0.0053
3,2020-04-16,5,0.010367846979042,0,0,0.72,0.021,0.0113
4,2020-04-16,6,0.031410204918117,0,0,0.72,0.145,0.0714
1,2020-04-16,7,0.002352301596429,0,0,0.72,0.06,0.0201
1,2020-04-16,8,0.002044752823463,0,0,0.72,0.015,0.0039
1,2020-04-16,9,0,0,0,0.72,0.013,0.0026
1,2020-04-16,10,0,0,0,0.72,0.011,0.0039
1,2020-04-16,11,0.001107284826876,0,0,0.72,0.011,0.0022
1,2020-04-16,12,0.002380487619084,0,0,0.72,0.03,0.0041
3,2020-04-16,13,0.017021558276378,0,0,0.72,0.085,0.0358
2,2020-04-16,14,0.007882036233114,0,0,0.72,0.04,0.0054
1,2020-04-16,15,0.003223617237869,0,0,0.72,0.042,0.0061
